PRIORITY RANK,NOTE,BASIN,HUC_12,COUNTY,DESCRIPTION,STATION,USE,CAUSE(S)
3,,BROAD,030501051002,SPARTANBURG,LITTLE THICKETTY CREEK AT S-42-307 1.2 MI NE OF COWPENS,RS-04376,AL,BIO
,,,,,,,,
3,,BROAD,030501051003,CHEROKEE,"GILKEY CK AT S-11-231,  9 MI SE OF GAFFNEY",B-334,AL,BIO
,,,,,,,,
3,,BROAD,030501051101,YORK,CLARK FORK INTO CRAWFORD LK ON UN# RD NEAR SC 161 & 705-KINGS MT,B-325,AL,BIO
,,,,,,,,
3,,BROAD,030501051102,YORK,BULLOCKS CRK. AT SR 40,B-739,AL,BIO
,,,,,,,,
3,,BROAD,030501051203,SPARTANBURG,OBED CREEK AT UNNUMBERED CHRISTOPHER ROAD OFF SC 11,RS-03514,AL,BIO
,,,,,,,,
3,,BROAD,030501051301,SPARTANBURG,MOTLOW CRK. AT SR 888,B-790,AL,BIO
3,,BROAD,030501051301,SPARTANBURG,S PACOLET RVR AT S-42-866 1 MI SE CAMPOBELLO,B-302,AL,CD
,,,,,,,,
3,,BROAD,030501051302,SPARTANBURG,LAKE BOWEN 0.3 MI W OF SC 9,B-339,AL,CD
,,,,,,,,
3,,BROAD,030501051401,SPARTANBURG,LAWSONS FK CK AT S-42-40 BL INMAN MILL EFF,B-221,AL,BIO
3,,BROAD,030501051401,SPARTANBURG,MEADOW CRK. AT SR 56,B-531,AL,BIO
,,,,,,,,
3,,BROAD,030501051402,SPARTANBURG,LAWSONS FORK CK AT S-42-108,BL-001,AL,PB
,,,,,,,,
3,,BROAD,030501051504,SPARTANBURG,POTTER BR ON RD 30 BL OUTFALL FROM HOUSING PROJ COWPENS,B-191,AL,DO
,,,,,,,,
3,,BROAD,030501051505,UNION,MILL CREEK AT SR 73,B-780,AL,BIO
,,,,,,,,
3,,BROAD,030501051602,CHEROKEE,CHEROKEE CREEK AT SC 329,B-679,AL,BIO
3,,BROAD,030501051602,CHEROKEE,LAKE WELCHEL 2.7 M N OF GAFFNEY,RL-01029,AL,CHLA
,,,,,,,,
3,,BROAD,030501051603,CHEROKEE,PEOPLES CK AT S-11-50 6 MI E OF GAFFNEY,B-100,AL,BIO
,,,,,,,,
3,,BROAD,030501060102,YORK,ROSS BR TO TURKEY CK AT SC 49 SW OF YORK,B-086,AL,TURBIDITY
3,,BROAD,030501060102,YORK,TURKEY CREEK AT S-46-41 5.3 MI SW YORK,RS-05562,AL,BIO
,,,,,,,,
3,,BROAD,030501060105,CHESTER,"TURKEY CK AT SC 9,  14 MI NW OF CHESTER",B-136,AL,BIO
,,,,,,,,
3,,BROAD,030501060202,CHESTER,DRY FORK AT S-12-304 2 MI SW OF CHESTER,B-074,AL,BIO
3,,BROAD,030501060202,CHESTER,LAKE AT CHESTER STATE PARK 0.8 MI SE OF ENTRANCE,RL-06438,AL,"CHLA, PH, TURBIDITY"
3,,BROAD,030501060202,CHESTER,CHESTER SATE PARK LAKE 2.5 MI SW OF CHESTER,RL-06468,AL,"CHLA, TURBIDITY"
,,,,,,,,
3,,BROAD,030501060302,UNION,"BROWNS CK AT S-44-86,  8 MI E OF UNION",B-155,AL,BIO
3,,BROAD,030501060302,UNION,TRIB TO MENG CK AT CLVT ON S-44-384 3 MI E OF UNION,B-243,AL,PH
,,,,,,,,
3,,BROAD,030501060303,UNION,LAKE JOHN D. LONG IN FOREBAY NEAR DAM,B-344,AL,PH
,,,,,,,,
3,,BROAD,030501060401,FAIRFIELD,BEAVER CRK. AT SR 95,B-143,AL,BIO
